order_id,customer_id,order_date,cost,sales,quantity,discount,staff_id,menu_name,,,,,
05-024-1112,57-799-5797,2022-11-27,225.00,337.50,3,61.49,2,Athens_5,,,,,
05-318-1801,77-869-4945,2019-10-05,235.00,352.50,1,37.04,1,Ankara_5,,,,,
05-378-2914,08-417-0042,2022-03-02,310.00,465.00,2,10.00,2,Palermo_5,,,,,
05-410-4163,75-558-6855,2020-09-30,133.17,199.76,3,24.00,4,Corfu_1,,,,,
05-822-0829,67-467-1171,2021-04-09,83.99,125.99,1,68.89,4,Roma_2,,,,,
05-825-9260,36-854-2570,2021-10-09,220.00,330.00,1,11.23,2,Corfu_2,,,,,
05-971-9045,54-536-6254,2022-10-03,320.00,480.00,2,11.23,2,Corfu_4,,,,,
05-982-4967,91-165-1485,2020-02-24,52.08,78.12,2,61.49,6,Corfu_6,,,,,
06-075-0174,29-219-2253,2019-09-09,210.00,315.00,3,51.05,5,Roma_4,,,,,
06-416-0671,81-541-0260,2021-11-26,168.27,252.41,2,11.23,5,Corfu_4,,,,,
06-457-9925,80-328-3018,2020-12-22,101.60,152.40,1,53.53,6,Roma_4,,,,,
06-605-4865,52-201-2191,2019-09-14,91.84,137.76,2,17.40,1,Corfu_5,,,,,
06-705-6026,77-585-5912,2021-10-12,83.99,125.99,3,11.23,2,Ankara_6,,,,,
06-887-6332,52-934-7220,2022-02-27,125.00,187.50,3,9.71,3,Kusadasi_3,,,,,
06-934-9396,14-968-9727,2020-09-30,144.09,216.14,2,98.01,6,Athens_2,,,,,
07-113-3748,82-632-3278,2022-12-13,235.00,352.50,3,37.04,4,Kusadasi_6,,,,,
07-116-3515,21-903-1493,2020-10-01,69.38,104.07,2,31.20,3,Athens_3,,,,,
07-143-9471,21-383-0942,2022-03-27,52.08,78.12,2,97.48,2,Palermo_1,,,,,
07-244-2129,76-263-1020,2020-11-18,52.08,78.12,2,9.12,1,Roma_3,,,,,
07-275-2696,64-337-3586,2020-06-27,210.00,315.00,1,91.41,5,Athens_1,,,,,
07-312-6026,42-547-8958,2020-02-21,310.00,465.00,2,17.40,1,Ankara_2,,,,,
07-322-4153,73-175-9496,2020-03-05,225.00,337.50,3,31.20,6,Corfu_4,,,,,
07-634-6294,58-341-8825,2020-04-22,310.00,465.00,2,89.84,3,Palermo_3,,,,,
07-808-6932,34-874-3361,2020-10-21,133.17,199.76,1,17.40,1,Kusadasi_3,,,,,
08-152-8962,75-652-8475,2021-01-12,93.13,139.70,2,35.44,5,Kusadasi_1,,,,,
08-270-7581,56-479-7571,2020-08-22,91.84,137.76,2,37.04,2,Corfu_2,,,,,
08-309-3649,90-874-3974,2021-02-26,210.00,315.00,3,11.23,4,Roma_6,,,,,
08-316-6754,21-667-2874,2019-08-25,69.38,104.07,2,51.05,1,Palermo_1,,,,,
08-483-5677,29-581-4956,2021-04-29,101.60,152.40,3,11.23,6,Corfu_5,,,,,
08-659-6030,68-700-9823,2020-08-16,125.00,187.50,2,53.53,2,Ankara_5,,,,,
08-660-0159,07-795-8092,2019-07-16,210.00,315.00,1,94.76,2,Palermo_4,,,,,
08-855-8354,30-273-7602,2020-09-29,98.00,147.00,1,10.00,3,Roma_4,,,,,
08-940-9111,95-643-4919,2022-09-22,320.00,480.00,3,54.08,6,Kusadasi_2,,,,,
09-019-6593,60-742-1416,2019-11-03,235.00,352.50,3,15.00,6,Kusadasi_2,,,,,
09-058-1844,15-509-1414,2022-09-21,124.62,186.93,3,23.00,2,Corfu_6,,,,,
09-185-3204,07-667-2054,2021-12-14,133.17,199.76,1,53.53,4,Kusadasi_4,,,,,
09-229-1754,81-464-9164,2022-01-26,210.00,315.00,3,73.09,3,Palermo_4,,,,,
09-440-5820,98-044-8929,2022-07-02,144.09,216.14,2,15.00,1,Roma_1,,,,,
09-481-5023,44-900-5794,2019-10-23,310.00,465.00,3,73.09,1,Corfu_2,,,,,
09-522-5385,83-660-8060,2019-10-17,225.00,337.50,3,53.53,4,Kusadasi_3,,,,,
09-896-5300,10-502-1445,2021-09-19,125.00,187.50,2,91.14,3,Corfu_3,,,,,
09-923-6077,56-311-7903,2021-08-26,133.17,199.76,3,35.44,6,Palermo_4,,,,,
10-030-5503,09-685-7250,2021-02-03,144.09,216.14,2,91.41,1,Athens_2,,,,,
10-052-8149,37-285-0504,2019-09-30,125.00,187.50,2,20.33,6,Athens_4,,,,,
10-120-0016,45-612-9855,2021-10-07,225.00,337.50,1,23.00,1,Corfu_6,,,,,
10-141-0121,20-910-8042,2022-01-06,101.60,152.40,3,51.05,5,Corfu_6,,,,,
10-150-2658,18-907-7870,2020-06-06,220.00,330.00,1,99.24,5,Palermo_6,,,,,
10-370-7784,01-169-3967,2019-12-09,320.00,480.00,2,31.20,2,Palermo_1,,,,,
10-390-3471,55-534-3489,2019-09-17,320.00,480.00,2,53.53,5,Corfu_4,,,,,
10-462-2908,98-667-2397,2022-06-29,125.00,187.50,2,53.53,3,Kusadasi_6,,,,,
10-621-7662,09-732-9826,2020-06-09,124.62,186.93,1,51.05,2,Roma_3,,,,,
10-638-5334,47-474-8927,2022-10-10,225.00,337.50,1,10.00,5,Ankara_1,,,,,
10-814-8054,61-104-0525,2020-01-14,144.09,216.14,2,37.04,3,Kusadasi_6,,,,,
11-146-3342,82-442-4503,2021-07-11,310.00,465.00,2,20.00,1,Ankara_4,,,,,
11-244-2193,71-643-1944,2020-04-02,44.57,66.86,3,91.41,2,Athens_3,,,,,
11-397-2150,99-109-2353,2020-07-15,310.00,465.00,3,35.44,2,Athens_6,,,,,
11-446-2659,83-395-8326,2022-09-02,133.17,199.76,3,68.89,1,Kusadasi_3,,,,,
11-463-8439,76-937-0622,2019-07-07,44.57,66.86,1,91.14,3,Corfu_3,,,,,
11-486-8739,41-226-8734,2022-07-03,220.00,330.00,1,91.41,1,Kusadasi_1,,,,,
11-645-0948,41-128-9654,2019-07-07,69.38,104.07,2,68.89,6,Athens_6,,,,,
11-648-9765,84-440-9751,2020-12-28,125.00,187.50,2,10.52,2,Corfu_5,,,,,
11-700-3520,39-327-8322,2022-04-17,52.08,78.12,2,47.84,4,Kusadasi_6,,,,,
11-741-2205,38-921-3385,2022-04-27,124.62,186.93,1,37.04,5,Palermo_6,,,,,
11-769-7584,50-079-2328,2021-12-25,144.09,216.14,3,35.44,6,Palermo_5,,,,,
11-776-8532,03-754-8064,2020-11-20,210.00,315.00,1,30.00,5,Ankara_4,,,,,
11-821-0545,01-608-1032,2020-11-08,125.00,187.50,2,15.00,5,Palermo_1,,,,,
11-835-2932,00-435-7006,2019-10-25,235.00,352.50,3,80.34,4,Athens_5,,,,,
11-858-8042,16-138-8056,2020-07-01,124.62,186.93,1,99.24,3,Kusadasi_4,,,,,
11-997-6382,48-853-9332,2022-09-05,101.60,152.40,3,53.53,5,Athens_2,,,,,
12-128-2576,17-656-8981,2021-10-03,133.17,199.76,3,94.76,5,Ankara_5,,,,,
12-306-6646,08-294-3158,2021-10-31,91.84,137.76,2,97.48,3,Palermo_4,,,,,
12-346-4013,16-233-7577,2022-08-24,190.00,285.00,2,47.84,4,Kusadasi_2,,,,,
12-371-9369,61-286-3086,2020-10-02,124.62,186.93,3,91.14,5,Roma_5,,,,,
12-605-1676,12-982-1679,2022-10-14,69.38,104.07,2,94.76,1,Kusadasi_4,,,,,
12-648-4718,57-611-6010,2020-11-01,91.84,137.76,2,10.52,2,Kusadasi_4,,,,,
12-718-1501,44-371-9315,2020-06-05,119.80,179.70,3,17.40,5,Corfu_1,,,,,
12-837-0577,72-701-8397,2021-12-29,310.00,465.00,2,73.09,3,Corfu_6,,,,,
13-018-1111,40-571-6226,2021-06-26,98.00,147.00,3,51.05,4,Kusadasi_1,,,,,
13-189-4080,75-673-9361,2020-02-27,75.00,112.50,2,51.05,4,Roma_6,,,,,
13-235-5773,46-708-9429,2022-04-12,98.00,147.00,1,9.71,5,Roma_2,,,,,
13-435-8115,87-320-3281,2021-01-04,168.27,252.41,2,91.41,3,Palermo_2,,,,,
13-469-9343,61-819-5221,2020-03-28,125.00,187.50,2,9.12,2,Corfu_3,,,,,
13-555-4988,37-705-9466,2021-01-28,144.09,216.14,2,20.33,5,Ankara_6,,,,,
13-673-8989,62-870-7138,2022-03-02,220.00,330.00,1,31.20,5,Athens_5,,,,,
13-698-5271,67-121-1555,2019-12-11,144.09,216.14,3,68.89,5,Athens_1,,,,,
13-912-7109,06-994-0572,2020-07-29,75.00,112.50,2,89.84,3,Palermo_5,,,,,
14-210-2413,08-581-0238,2021-06-06,101.60,152.40,3,30.00,3,Corfu_3,,,,,
14-224-3137,30-882-6768,2022-08-15,190.00,285.00,2,94.76,3,Palermo_2,,,,,
14-316-4950,28-255-9636,2022-04-23,119.80,179.70,1,31.20,1,Athens_2,,,,,
14-376-2485,33-532-7457,2021-06-13,93.13,139.70,3,91.14,2,Kusadasi_1,,,,,
14-606-3655,86-294-0566,2020-12-24,101.60,152.40,1,11.23,5,Palermo_6,,,,,
14-648-5507,36-331-2831,2019-07-17,168.27,252.41,2,67.77,4,Kusadasi_1,,,,,
15-090-5294,27-735-9532,2022-12-24,119.80,179.70,1,98.01,4,Palermo_2,,,,,
15-190-8465,24-648-1490,2022-03-04,91.84,137.76,2,9.71,4,Corfu_6,,,,,
15-192-4862,91-003-5808,2021-10-01,210.00,315.00,1,35.44,2,Roma_1,,,,,
15-197-3569,89-460-3944,2022-04-14,133.17,199.76,1,15.00,3,Corfu_2,,,,,
15-260-9895,62-555-9031,2020-07-20,91.84,137.76,3,73.09,5,Ankara_4,,,,,
15-272-2116,14-832-8262,2022-09-08,320.00,480.00,2,53.53,4,Palermo_6,,,,,
15-297-7741,92-486-6132,2021-08-23,190.00,285.00,2,35.44,2,Roma_2,,,,,
15-307-8168,09-488-5773,2020-10-25,119.80,179.70,1,35.44,3,Roma_4,,,,,
15-663-0481,21-282-1343,2020-03-05,98.00,147.00,1,80.34,1,Palermo_1,,,,,
15-667-9235,30-459-4522,2022-01-21,144.09,216.14,2,61.49,2,Palermo_4,,,,,
16-386-7757,33-882-5916,2021-07-29,225.00,337.50,3,99.24,3,Corfu_3,,,,,
16-609-1782,22-414-3931,2019-11-28,119.80,179.70,3,51.05,2,Kusadasi_4,,,,,
16-921-7992,33-940-3140,2022-02-21,52.08,78.12,3,9.71,5,Corfu_2,,,,,
16-946-9856,32-572-1979,2020-07-01,220.00,330.00,1,10.52,3,Palermo_2,,,,,
17-146-9681,03-575-7094,2022-12-02,168.27,252.41,3,73.09,4,Athens_5,,,,,
17-253-1197,50-685-3169,2021-10-06,144.09,216.14,2,10.52,2,Palermo_4,,,,,
17-264-8555,19-101-7328,2021-03-01,144.09,216.14,3,31.20,5,Corfu_6,,,,,
17-396-0834,99-534-0752,2020-03-09,190.00,285.00,2,91.41,3,Roma_3,,,,,
17-529-1692,41-401-4494,2022-06-09,225.00,337.50,1,89.84,5,Palermo_2,,,,,
17-586-7905,62-845-0351,2021-07-03,91.84,137.76,2,98.01,4,Corfu_1,,,,,
17-708-5350,98-778-3557,2021-11-08,44.57,66.86,3,67.77,1,Palermo_4,,,,,
17-851-5705,17-237-9919,2021-06-17,69.38,104.07,2,47.84,4,Corfu_2,,,,,
18-136-6969,09-799-7986,2020-09-05,124.62,186.93,3,20.00,1,Athens_3,,,,,
18-237-6374,82-126-8371,2020-05-03,69.38,104.07,2,67.77,1,Kusadasi_5,,,,,
18-252-1922,67-683-3934,2020-11-12,119.80,179.70,1,10.52,5,Athens_3,,,,,
18-359-3465,15-212-8866,2019-08-04,101.60,152.40,1,10.00,1,Kusadasi_5,,,,,
18-752-8277,39-552-7180,2020-10-06,93.13,139.70,2,24.00,4,Corfu_1,,,,,
18-944-2420,57-497-0939,2022-02-14,320.00,480.00,2,17.40,2,Corfu_4,,,,,
19-156-3010,88-753-2311,2019-10-01,44.57,66.86,3,51.05,5,Ankara_5,,,,,
19-189-3064,99-435-3448,2021-12-20,44.57,66.86,3,23.00,2,Roma_5,,,,,
19-281-5590,07-805-8279,2020-07-04,210.00,315.00,3,67.77,1,Athens_5,,,,,
19-329-8137,59-386-1239,2021-03-25,144.09,216.14,2,53.53,2,Kusadasi_5,,,,,
19-522-8580,48-588-2099,2022-06-05,220.00,330.00,1,37.04,5,Kusadasi_1,,,,,
19-530-8425,96-672-3509,2021-10-30,144.09,216.14,2,20.33,3,Kusadasi_2,,,,,
19-560-5489,99-288-3999,2022-01-26,52.08,78.12,2,11.23,1,Roma_4,,,,,
19-768-2646,41-082-7417,2021-05-21,119.80,179.70,3,10.00,3,Athens_1,,,,,
19-798-0585,34-747-6973,2021-09-18,225.00,337.50,3,24.00,4,Palermo_5,,,,,
19-953-6477,99-033-8011,2019-08-03,220.00,330.00,1,47.84,4,Roma_3,,,,,
20-140-3398,72-650-0634,2020-10-16,93.13,139.70,2,20.33,1,Kusadasi_4,,,,,
20-205-9814,78-492-1244,2021-11-23,93.13,139.70,2,15.00,3,Athens_5,,,,,
20-343-7160,65-760-7724,2020-08-12,52.08,78.12,2,15.00,2,Palermo_1,,,,,
20-698-8725,89-302-9477,2021-01-12,119.80,179.70,1,94.76,1,Athens_2,,,,,
21-039-2999,82-288-9392,2022-02-14,101.60,152.40,3,9.71,1,Athens_2,,,,,
21-104-5976,27-928-3810,2022-01-08,133.17,199.76,3,91.41,4,Corfu_4,,,,,
21-106-4079,45-685-2873,2021-11-02,75.00,112.50,2,20.33,1,Ankara_6,,,,,
21-164-7722,80-680-2541,2020-07-02,144.09,216.14,2,98.01,5,Kusadasi_4,,,,,
21-385-2808,16-815-6643,2022-01-06,320.00,480.00,2,9.71,1,Athens_2,,,,,
21-627-1027,55-441-4945,2019-12-30,320.00,480.00,2,91.41,6,Kusadasi_6,,,,,
21-743-3530,98-463-7157,2019-12-23,101.60,152.40,3,15.00,6,Roma_2,,,,,
21-844-2539,42-165-1972,2020-06-15,125.00,187.50,2,99.24,4,Corfu_3,,,,,
22-001-6016,41-356-7756,2019-08-27,168.27,252.41,3,24.00,5,Palermo_4,,,,,
22-130-4513,74-130-0054,2021-07-31,44.57,66.86,3,89.84,6,Kusadasi_5,,,,,
22-401-7510,95-153-0059,2022-09-18,235.00,352.50,3,94.76,1,Ankara_6,,,,,
22-437-6211,85-902-1541,2020-09-11,310.00,465.00,2,80.34,4,Athens_6,,,,,
22-501-9215,55-267-3235,2020-06-28,168.27,252.41,3,80.34,3,Ankara_4,,,,,
22-561-9916,75-903-8085,2020-09-23,93.13,139.70,2,11.23,4,Kusadasi_3,,,,,
22-572-6325,20-317-3721,2022-03-26,44.57,66.86,1,9.71,3,Corfu_4,,,,,
22-697-0930,44-527-5077,2022-02-21,75.00,112.50,3,97.48,2,Kusadasi_2,,,,,
22-867-9098,49-464-9139,2021-09-17,235.00,352.50,3,68.89,2,Athens_1,,,,,
22-872-7952,57-734-9941,2020-08-27,225.00,337.50,1,68.89,4,Athens_2,,,,,
22-904-5860,96-606-2380,2020-02-26,125.00,187.50,3,30.00,5,Ankara_1,,,,,
22-906-5872,71-801-5063,2022-04-19,101.60,152.40,3,67.77,1,Kusadasi_4,,,,,
23-082-1065,63-919-4250,2022-01-20,210.00,315.00,3,47.84,6,Palermo_1,,,,,
23-153-9991,44-311-9619,2020-12-19,98.00,147.00,3,23.00,6,Ankara_6,,,,,
23-364-4571,14-693-9001,2019-11-11,144.09,216.14,2,9.12,3,Kusadasi_3,,,,,
23-382-0687,39-791-8742,2021-08-04,91.84,137.76,2,53.53,2,Kusadasi_1,,,,,
23-427-8106,48-999-9247,2020-10-21,220.00,330.00,3,17.40,1,Corfu_5,,,,,
23-582-1221,04-699-2162,2019-07-20,168.27,252.41,3,54.08,4,Corfu_3,,,,,
23-636-0824,48-766-8760,2021-05-16,220.00,330.00,1,94.76,5,Kusadasi_1,,,,,
23-760-0421,04-049-1006,2019-08-05,310.00,465.00,2,17.40,4,Ankara_3,,,,,
23-824-2201,62-551-8160,2020-01-14,124.62,186.93,3,47.84,3,Ankara_2,,,,,
23-898-9055,70-288-8972,2022-10-31,75.00,112.50,3,67.77,3,Roma_5,,,,,
24-041-3369,48-621-4122,2021-02-03,101.60,152.40,1,9.71,4,Ankara_6,,,,,
24-102-1793,70-815-9836,2021-04-12,91.84,137.76,2,91.41,6,Kusadasi_5,,,,,
24-139-0192,06-870-3808,2020-06-13,190.00,285.00,3,10.52,2,Ankara_6,,,,,
24-314-4867,38-865-5715,2021-11-16,225.00,337.50,3,68.89,3,Kusadasi_2,,,,,
24-332-5305,59-084-7992,2021-08-03,75.00,112.50,2,23.00,6,Corfu_3,,,,,
24-339-0545,58-027-4960,2022-09-12,44.57,66.86,3,94.76,5,Palermo_1,,,,,
24-351-9777,49-436-2903,2022-09-09,52.08,78.12,2,9.12,1,Kusadasi_2,,,,,
24-502-2774,65-949-4674,2021-04-30,101.60,152.40,3,98.01,2,Corfu_6,,,,,
24-678-5042,10-483-3261,2020-07-19,83.99,125.99,3,80.34,4,Palermo_4,,,,,
24-690-6396,24-388-6822,2022-03-29,44.57,66.86,1,98.01,5,Palermo_1,,,,,
24-714-2660,24-545-1124,2019-09-13,210.00,315.00,1,61.49,4,Athens_1,,,,,
24-934-3291,44-464-5517,2021-01-14,220.00,330.00,3,31.20,2,Kusadasi_2,,,,,
24-998-9967,88-786-4775,2021-12-30,75.00,112.50,2,24.00,5,Roma_2,,,,,
25-093-8535,68-082-3942,2022-04-02,83.99,125.99,3,89.84,3,Corfu_1,,,,,
25-177-6985,68-194-7215,2019-08-10,210.00,315.00,3,94.76,5,Roma_3,,,,,
25-252-0068,20-850-2376,2022-01-05,190.00,285.00,2,9.12,1,Athens_3,,,,,
25-339-5566,32-426-3513,2020-09-10,75.00,112.50,3,53.53,2,Roma_5,,,,,
25-432-8239,61-676-0339,2021-02-21,310.00,465.00,2,10.52,5,Ankara_2,,,,,
25-433-9492,64-943-2705,2020-08-02,91.84,137.76,2,23.00,1,Kusadasi_1,,,,,
25-485-3794,93-083-1812,2021-05-07,225.00,337.50,1,20.33,5,Roma_3,,,,,
25-522-2006,58-749-9630,2021-02-02,190.00,285.00,2,53.53,2,Corfu_1,,,,,
25-621-0618,79-553-1254,2020-05-21,210.00,315.00,3,31.20,5,Athens_3,,,,,
25-771-0744,71-907-8875,2020-11-24,168.27,252.41,2,99.24,4,Athens_5,,,,,
25-850-5723,75-436-9725,2020-08-05,144.09,216.14,2,47.84,6,Ankara_4,,,,,
25-912-8989,65-570-0362,2022-07-09,52.08,78.12,3,91.41,3,Kusadasi_1,,,,,
26-231-8897,75-904-5534,2022-05-12,119.80,179.70,3,37.04,4,Athens_4,,,,,
26-281-8125,45-809-5759,2020-11-30,190.00,285.00,3,17.40,4,Corfu_1,,,,,
26-326-8254,48-306-2176,2020-01-13,93.13,139.70,2,35.44,6,Palermo_2,,,,,
26-437-6628,46-036-3035,2020-07-08,210.00,315.00,1,53.53,5,Palermo_2,,,,,
26-461-5577,41-836-7896,2021-07-06,75.00,112.50,3,68.89,2,Kusadasi_1,,,,,
26-802-1005,53-704-6388,2020-09-01,75.00,112.50,2,24.00,1,Corfu_6,,,,,
26-929-8429,57-713-4376,2019-08-08,83.99,125.99,1,23.00,6,Corfu_4,,,,,
26-973-3455,28-994-2175,2020-01-06,69.38,104.07,2,20.33,2,Corfu_4,,,,,
27-077-0389,91-616-5387,2021-02-03,168.27,252.41,2,35.44,1,Palermo_2,,,,,
27-252-7456,47-423-8685,2022-10-15,133.17,199.76,3,23.00,6,Athens_5,,,,,
27-295-8802,01-010-4453,2021-07-26,101.60,152.40,3,47.84,5,Kusadasi_3,,,,,
27-600-6800,64-729-1878,2022-07-23,225.00,337.50,3,97.48,1,Ankara_2,,,,,
27-774-9457,53-761-3433,2021-01-04,144.09,216.14,3,23.00,5,Kusadasi_5,,,,,
27-991-7078,43-930-4762,2020-06-25,44.57,66.86,1,23.00,6,Corfu_5,,,,,
28-019-1318,83-279-6709,2019-09-03,220.00,330.00,1,15.00,2,Palermo_5,,,,,
28-279-3419,15-541-9267,2021-09-04,93.13,139.70,2,10.52,6,Palermo_5,,,,,
28-341-5469,06-346-0589,2021-07-25,210.00,315.00,3,91.14,1,Kusadasi_5,,,,,
28-376-6551,91-908-8699,2021-11-28,101.60,152.40,3,80.34,6,Kusadasi_6,,,,,
28-387-3547,18-296-6063,2019-08-14,125.00,187.50,2,80.34,6,Palermo_4,,,,,
28-608-5137,91-467-3717,2020-03-10,210.00,315.00,3,23.00,1,Ankara_6,,,,,
28-703-1952,31-307-2307,2021-03-14,83.99,125.99,1,37.04,2,Ankara_6,,,,,
28-882-5933,56-326-1556,2019-12-22,93.13,139.70,2,80.34,2,Corfu_4,,,,,
28-960-2783,55-844-1489,2022-10-24,320.00,480.00,2,10.52,2,Corfu_6,,,,,
29-260-4008,66-514-5198,2021-04-01,124.62,186.93,1,20.33,2,Roma_4,,,,,
29-353-4988,80-202-1241,2022-11-03,93.13,139.70,2,53.53,2,Corfu_5,,,,,
29-463-3688,21-644-8108,2019-12-05,44.57,66.86,1,10.00,2,Corfu_2,,,,,
29-546-8618,87-579-7924,2020-05-18,124.62,186.93,3,89.84,6,Kusadasi_2,,,,,
29-577-3059,58-897-9539,2022-05-18,98.00,147.00,3,91.14,4,Palermo_5,,,,,
29-587-2527,51-918-5148,2020-10-12,119.80,179.70,3,73.09,4,Ankara_1,,,,,
29-595-2468,85-126-7032,2021-12-18,220.00,330.00,1,67.77,2,Athens_4,,,,,
29-600-4791,88-988-5357,2020-08-31,235.00,352.50,3,54.08,1,Athens_5,,,,,
29-600-8355,02-063-5381,2019-11-01,101.60,152.40,1,99.24,5,Ankara_3,,,,,
29-601-2712,07-925-9556,2021-01-27,119.80,179.70,3,9.71,5,Roma_1,,,,,
29-728-2837,99-380-1965,2019-07-31,124.62,186.93,1,67.77,1,Roma_6,,,,,
29-773-5797,73-427-9774,2021-09-15,69.38,104.07,3,24.00,2,Kusadasi_2,,,,,
29-930-1681,16-112-3047,2019-08-17,310.00,465.00,2,91.41,4,Kusadasi_5,,,,,
29-947-3866,46-151-7455,2021-09-05,125.00,187.50,2,91.14,6,Roma_6,,,,,
29-952-5748,59-273-7178,2019-06-27,190.00,285.00,2,11.23,2,Athens_2,,,,,
30-032-8406,21-910-6325,2020-07-23,98.00,147.00,3,20.00,4,Athens_5,,,,,
30-082-2867,91-807-1653,2021-01-13,190.00,285.00,2,20.33,2,Kusadasi_1,,,,,
30-087-5181,57-785-3314,2020-03-22,133.17,199.76,1,61.49,2,Corfu_4,,,,,
30-117-6174,60-917-4254,2022-09-15,44.57,66.86,3,54.08,2,Palermo_6,,,,,
30-124-4774,84-872-5897,2020-02-05,125.00,187.50,3,73.09,3,Athens_1,,,,,
30-148-2955,80-373-3482,2019-11-02,98.00,147.00,1,20.00,3,Palermo_4,,,,,
30-205-9759,19-601-3865,2020-06-19,93.13,139.70,3,97.48,6,Corfu_3,,,,,
30-418-5129,86-857-1829,2021-01-07,210.00,315.00,1,61.49,6,Corfu_1,,,,,
30-601-0133,25-816-5806,2022-02-05,133.17,199.76,3,89.84,4,Kusadasi_6,,,,,
30-715-2573,77-952-2629,2020-10-06,220.00,330.00,3,47.84,6,Ankara_1,,,,,
