delivery_id,delivery_date,delivery_status,order_id,delivery_cost
124,2021-10-06,in_van,12-128-2576,98.05
125,2020-04-29,in_van,03-825-5219,71.27
126,2020-06-13,ready,78-806-0853,62.60
127,2020-06-06,delivered,39-843-1059,19.09
128,2022-08-05,ordered,70-424-5723,29.33
129,2021-08-10,delivered,34-629-9123,81.01
130,2020-08-17,ordered,52-984-2592,93.41
131,2022-10-06,ordered,01-423-8434,75.60
132,2021-09-28,delivered,31-340-1373,25.49
133,2020-01-13,ordered,43-009-8040,61.92
134,2021-09-04,ready,84-854-1349,91.86
135,2021-08-30,ordered,46-969-1933,34.87
136,2022-08-08,delivered,86-161-8508,88.17
137,2022-08-24,ready,69-607-3610,37.78
138,2021-05-26,ready,51-955-2727,89.59
139,2021-08-11,delivered,40-192-8164,47.78
140,2020-07-06,ready,53-585-4586,58.92
141,2020-08-15,ready,56-076-6137,51.72
142,2020-12-23,ready,06-457-9925,8.35
143,2019-09-23,delivered,51-007-0849,75.14
144,2021-02-05,ordered,64-446-6092,97.10
145,2022-10-13,delivered,62-768-3976,13.66
146,2022-07-27,ordered,45-594-5624,68.57
147,2021-10-14,in_van,46-892-9399,31.43
148,2022-12-12,ready,74-302-4817,82.93
149,2020-10-02,delivered,07-116-3515,40.99
150,2020-02-13,in_van,04-743-8019,66.59
151,2021-09-22,ready,09-896-5300,83.75
152,2022-09-30,in_van,36-816-5383,54.94
153,2020-02-10,ready,76-380-8355,13.06
154,2019-08-05,ordered,19-953-6477,87.07
155,2022-11-15,in_van,61-841-5883,97.23
156,2019-09-16,delivered,83-924-4913,75.28
157,2019-11-24,ready,36-480-1277,99.83
158,2021-05-08,in_van,76-176-1093,50.71
159,2019-08-07,delivered,63-204-3800,47.73
160,2021-06-28,ready,13-018-1111,67.70
161,2022-05-28,ordered,77-561-4347,47.71
162,2020-11-27,ordered,43-238-0006,43.53
163,2020-10-02,ready,59-380-4206,2.09
164,2022-02-14,ready,21-039-2999,20.84
165,2019-12-23,ordered,28-882-5933,57.71
166,2021-10-27,ordered,65-080-5283,59.75
167,2019-12-23,delivered,74-564-7314,8.28
168,2021-04-29,ready,45-033-9684,27.00
169,2020-06-14,in_van,76-855-7164,75.64
170,2021-03-17,ordered,28-703-1952,89.82
171,2021-09-15,ordered,29-773-5797,8.47
172,2021-05-24,ready,19-768-2646,8.53
173,2020-08-19,in_van,08-659-6030,55.70
174,2021-04-09,in_van,96-993-3962,24.89
175,2020-10-24,ordered,83-220-9837,2.70
176,2021-02-24,ready,31-121-8822,78.44
177,2019-08-29,delivered,65-311-3002,36.42
178,2020-07-14,ordered,50-817-8023,23.52
179,2020-07-17,in_van,11-397-2150,63.96
180,2020-03-06,ready,07-322-4153,41.62
181,2022-06-07,delivered,84-724-9712,50.37
182,2021-09-13,delivered,75-362-1645,13.54
183,2020-09-22,delivered,76-627-0236,97.28
184,2020-09-24,ready,40-168-4233,72.25
185,2020-08-07,delivered,25-850-5723,74.83
186,2020-01-08,in_van,85-463-0651,21.16
187,2020-08-04,in_van,64-141-5718,73.19
188,2020-04-28,ready,35-427-7418,80.50
189,2020-11-03,in_van,12-648-4718,45.69
190,2022-06-06,ordered,37-765-3279,80.16
191,2020-12-10,ready,91-332-6187,28.26
192,2022-04-04,ordered,25-093-8535,52.61
193,2019-11-22,ready,59-493-4419,8.32
194,2021-08-18,ready,56-307-1423,45.10
195,2022-03-01,ordered,06-887-6332,14.80
196,2019-10-25,in_van,11-835-2932,21.93
197,2020-07-27,in_van,01-981-5069,96.46
198,2020-12-16,in_van,39-547-3173,30.53
199,2020-01-15,ready,50-185-4137,2.32
200,2022-07-19,ordered,89-513-4206,32.21
201,2021-06-26,delivered,53-974-4637,99.85
202,2020-06-26,delivered,53-763-8296,39.92
203,2020-06-21,ready,82-589-4385,49.17
204,2021-07-05,delivered,79-638-3210,48.07
205,2020-10-04,ready,93-057-9662,40.00
206,2022-10-13,ordered,45-742-2253,37.08
207,2021-01-30,ready,13-555-4988,97.27
208,2022-06-21,delivered,56-195-4013,94.01
209,2022-01-23,delivered,55-443-2920,24.21
210,2019-11-25,in_van,49-429-0115,67.14
211,2019-12-22,delivered,89-997-5952,77.04
212,2021-08-08,ordered,98-148-9592,53.91
213,2021-06-03,ready,89-865-3770,82.12
214,2019-11-15,ready,00-350-1396,81.13
215,2021-02-12,ordered,91-121-2326,34.47
216,2020-12-01,ordered,90-878-2657,94.12
217,2022-09-17,ready,67-961-1567,60.59
218,2021-10-04,delivered,80-461-9387,95.67
219,2021-06-06,delivered,38-478-1265,98.80
220,2022-12-07,ordered,42-829-4772,1.11
221,2019-10-21,in_van,84-681-6641,34.25
222,2021-06-21,ordered,68-473-3919,90.73
223,2020-04-23,ready,07-634-6294,68.10
224,2022-05-05,ordered,73-455-3435,26.88
225,2020-03-09,delivered,17-396-0834,81.75
226,2022-04-15,delivered,13-235-5773,34.11
227,2020-06-28,delivered,22-501-9215,40.64
228,2021-01-07,ready,53-401-6179,42.55
229,2020-10-02,ready,06-934-9396,27.72
230,2019-11-01,delivered,29-600-8355,76.57
231,2020-05-12,ordered,65-966-4872,52.89
232,2022-07-08,ready,31-593-0632,33.88
233,2021-06-22,ready,89-100-6055,51.49
234,2022-10-26,in_van,31-087-9491,40.12
235,2021-03-27,in_van,88-367-5894,79.15
236,2021-11-24,ordered,97-219-4069,76.19
237,2022-07-24,delivered,33-755-4654,88.95
238,2021-06-20,ready,98-391-7796,38.71
239,2020-03-31,delivered,13-469-9343,95.04
240,2020-10-01,ready,86-275-9654,14.62
241,2022-03-17,ordered,30-791-3047,97.35
242,2022-03-03,in_van,13-673-8989,72.19
243,2021-02-21,delivered,01-855-8188,32.18
244,2021-07-27,delivered,28-341-5469,84.32
245,2020-11-28,ready,31-221-4991,16.43
246,2020-08-27,ordered,22-872-7952,29.68
247,2022-08-27,ready,12-346-4013,17.98
248,2022-06-12,ordered,89-285-0567,63.49
249,2021-03-27,delivered,65-170-4476,22.11
250,2020-07-06,ordered,33-207-9048,11.59
251,2020-06-18,ordered,72-099-2457,21.36
252,2021-05-01,ready,08-483-5677,79.73
253,2021-02-13,ordered,79-268-0334,15.22
254,2022-08-09,ordered,90-006-4375,65.41
255,2021-07-15,ready,04-904-4552,2.73
256,2022-01-09,delivered,21-104-5976,23.13
257,2019-08-20,in_van,31-073-7194,1.29
258,2022-06-17,delivered,88-813-0409,95.47
259,2022-07-02,in_van,91-163-7915,68.15
260,2021-02-23,in_van,58-419-3322,67.86
261,2022-02-08,in_van,35-795-9456,75.78
262,2019-07-28,ready,60-081-1759,37.47
263,2021-11-04,ready,35-907-6473,71.27
264,2022-11-08,in_van,47-441-1628,9.14
265,2020-09-27,delivered,58-376-5889,23.55
266,2020-07-11,delivered,26-437-6628,49.99
267,2019-10-02,ordered,77-827-0603,69.30
268,2020-06-04,delivered,54-555-7832,45.19
269,2021-01-16,ready,30-082-2867,95.17
270,2020-05-23,delivered,67-455-5976,12.29
271,2020-08-13,ready,34-970-4387,71.09
272,2020-07-06,ready,75-883-4614,2.96
273,2020-06-01,ordered,71-373-6387,12.42
274,2022-11-26,ordered,31-807-7846,28.42
275,2021-06-15,ready,14-376-2485,48.27
276,2021-01-23,in_van,58-251-6487,15.31
277,2020-02-22,ready,60-913-9847,53.96
278,2022-01-10,in_van,84-951-9107,63.30
279,2022-05-04,delivered,68-012-9190,69.98
280,2020-01-01,delivered,73-985-2542,5.11
281,2020-08-12,delivered,34-415-8074,2.44
282,2020-11-12,delivered,18-252-1922,88.13
283,2021-07-29,ordered,92-795-7087,45.10
284,2019-10-05,in_van,78-352-3174,82.69
285,2020-07-31,ready,13-912-7109,83.03
286,2020-04-27,ready,03-893-8767,84.78
287,2022-06-25,ready,37-082-5374,31.42
288,2021-09-12,ready,33-541-8718,62.45
289,2020-09-13,delivered,22-437-6211,87.14
290,2021-06-01,in_van,33-583-4747,7.61
291,2020-04-26,ordered,71-485-0830,35.76
292,2021-03-24,ready,82-422-7097,80.41
293,2022-09-28,ready,72-207-0940,54.17
294,2022-04-30,ordered,11-741-2205,75.00
295,2020-08-04,delivered,69-218-2694,86.70
296,2022-09-25,ordered,67-816-5527,97.38
297,2022-11-03,ordered,29-353-4988,5.50
298,2020-06-26,in_van,27-991-7078,85.02
299,2020-07-22,in_van,15-260-9895,37.31
300,2022-05-26,delivered,87-409-2090,88.46
301,2020-11-20,ready,07-244-2129,40.45
302,2022-04-04,ordered,85-912-4773,82.00
303,2021-09-09,in_van,69-817-5553,19.23
304,2021-04-03,in_van,96-173-6690,23.70
305,2020-04-02,in_van,60-078-2571,33.39
306,2021-10-28,delivered,52-104-3482,50.68
307,2022-02-21,delivered,22-697-0930,41.52
308,2020-01-13,delivered,75-463-0491,67.13
309,2022-08-20,delivered,45-519-3808,47.99
310,2019-07-19,ready,08-660-0159,22.97
311,2020-10-14,ordered,94-211-8782,62.99
312,2020-03-12,in_van,56-184-4508,80.79
313,2022-10-23,ordered,49-337-9727,6.88
314,2021-02-02,delivered,49-934-7149,79.07
315,2019-10-02,delivered,39-201-1204,18.74
316,2020-05-20,in_van,29-546-8618,15.15
317,2022-06-28,delivered,95-337-7409,39.81
318,2021-09-02,in_van,76-769-5168,22.93
319,2022-11-26,ready,04-546-8049,69.65
320,2020-06-07,delivered,90-317-7928,46.94
321,2022-04-28,delivered,67-172-7841,22.59
322,2022-07-23,ready,46-686-0158,31.08
323,2020-11-04,in_van,97-004-1775,41.56
324,2021-06-22,ready,87-763-3059,27.66
325,2020-07-19,ordered,41-622-4465,56.36
326,2022-08-20,ready,65-907-3127,19.52
327,2021-12-03,ordered,52-348-6923,58.53
328,2022-04-08,delivered,61-533-3161,62.25
329,2021-08-06,in_van,24-332-5305,4.39
330,2019-09-28,delivered,32-923-9697,93.67
331,2020-09-21,ordered,63-555-6345,24.52
332,2019-09-06,ready,65-249-5260,10.59
333,2021-05-24,delivered,00-008-3271,22.25
334,2021-10-01,ordered,31-404-5047,61.96
335,2020-08-20,delivered,78-040-2505,32.94
336,2022-08-19,in_van,74-603-8937,72.56
337,2019-08-27,ordered,98-293-6058,35.68
338,2020-10-26,ordered,99-207-8914,56.88
339,2019-12-13,delivered,13-698-5271,43.48
340,2021-07-27,in_van,27-295-8802,77.08
341,2022-10-19,ready,90-320-2065,39.54
342,2022-05-20,ordered,51-959-4742,60.62
343,2022-06-26,ordered,77-904-4749,23.21
344,2020-02-24,in_van,78-214-6816,78.77
345,2022-01-27,ready,19-560-5489,37.54
346,2020-10-24,delivered,41-179-7445,13.32
347,2021-10-18,ready,49-368-5121,9.06
348,2020-06-06,ready,12-718-1501,12.22
349,2019-11-05,ready,99-748-0471,48.03
350,2019-12-18,ready,84-864-3249,40.77
351,2021-10-12,ordered,94-106-4253,79.95
352,2021-09-30,ordered,03-464-8128,52.85
353,2020-10-22,ordered,46-031-2472,12.91
354,2022-08-27,delivered,84-041-9180,17.27
355,2022-03-08,ordered,45-780-6744,11.79
356,2019-10-04,delivered,75-714-6097,35.98
357,2020-08-20,delivered,76-913-8795,26.48
358,2020-10-02,delivered,08-855-8354,38.54
359,2020-04-11,ready,99-860-3106,91.08
360,2022-09-24,ordered,09-058-1844,44.96
361,2020-03-03,delivered,77-889-7684,45.13
362,2020-12-15,in_van,32-783-7159,94.08
363,2020-05-09,ordered,74-339-3540,57.79
364,2021-11-09,ordered,17-708-5350,64.82
365,2022-11-08,delivered,03-132-2890,43.71
366,2022-06-14,ordered,47-198-9429,51.90
367,2020-02-25,delivered,05-982-4967,30.86
368,2020-11-26,ordered,33-894-6676,58.67
369,2021-02-18,ready,33-667-2660,5.16
370,2022-11-17,in_van,43-134-2893,24.10
371,2022-01-13,ordered,74-346-3086,27.97
372,2022-09-20,ready,22-401-7510,47.10
373,2020-09-10,ready,97-662-2177,18.71
374,2019-09-05,ready,28-019-1318,97.04
375,2022-10-27,in_van,28-960-2783,30.83
376,2021-02-26,in_van,08-309-3649,54.27
377,2020-11-01,delivered,04-003-4647,84.47
378,2022-06-12,in_van,17-529-1692,58.57
379,2020-12-02,ready,26-281-8125,9.46
380,2022-05-28,in_van,55-676-1998,92.59
381,2021-11-10,delivered,66-610-1519,22.55
382,2022-12-28,ready,50-818-0337,12.72
383,2019-10-10,delivered,04-911-6551,70.44
384,2021-04-30,ordered,24-502-2774,96.19
385,2020-08-22,ordered,32-208-6721,78.26
386,2020-03-27,delivered,72-727-1317,97.89
387,2022-03-15,ready,01-715-3869,78.38
388,2021-08-14,delivered,51-349-8226,26.67
389,2021-08-01,ready,52-905-6091,46.79
390,2020-06-10,delivered,61-185-3517,80.25
391,2019-07-26,ready,71-409-7516,91.32
392,2020-10-13,ordered,29-587-2527,82.08
393,2019-11-02,delivered,92-521-6256,75.43
394,2023-01-06,ordered,54-815-3308,69.63
395,2022-11-03,in_van,23-898-9055,67.77
396,2019-09-17,delivered,64-918-4744,61.97
397,2019-12-09,delivered,10-370-7784,81.05
398,2021-01-08,ready,30-418-5129,94.09
399,2021-10-24,ordered,75-421-5444,9.08
400,2022-07-24,in_van,27-600-6800,97.84
401,2022-03-03,delivered,81-940-9983,96.68
402,2020-07-30,in_van,38-994-1709,87.37
403,2021-03-09,ordered,83-217-3894,66.91
404,2020-09-07,ordered,18-136-6969,48.14
405,2022-07-04,in_van,09-440-5820,78.92
406,2020-03-21,delivered,33-930-0109,93.82
407,2020-09-26,ready,22-561-9916,49.11
408,2019-10-02,delivered,19-156-3010,89.06
409,2022-05-04,ordered,51-247-0503,44.61
410,2020-10-21,in_van,07-808-6932,31.40
411,2022-07-10,ordered,25-912-8989,70.04
412,2022-06-23,in_van,71-197-3844,69.96
413,2022-07-08,ordered,38-624-7763,83.03
414,2022-10-25,ordered,96-813-6384,79.20
415,2020-08-15,delivered,98-920-8331,48.22
416,2020-11-11,ready,53-068-3680,91.92
417,2020-08-23,ready,70-349-8770,37.60
418,2022-06-08,ordered,19-522-8580,80.27
419,2021-08-16,ready,52-152-3371,60.71
420,2020-04-21,in_van,76-201-5085,97.00
421,2020-10-31,ordered,50-048-3933,66.96
422,2021-10-09,ordered,10-120-0016,35.10
423,2019-08-23,in_van,03-297-4257,82.94
424,2021-10-11,ready,40-486-8511,93.03
425,2023-01-01,delivered,04-976-7880,5.15
426,2019-08-03,in_van,29-728-2837,71.81
427,2021-12-28,in_van,11-769-7584,23.12
428,2020-11-30,ready,37-255-6435,47.24
429,2020-11-13,ready,71-140-6745,10.42
430,2019-07-07,ready,11-463-8439,53.58
431,2021-11-02,delivered,12-306-6646,34.58
432,2022-09-03,ordered,11-446-2659,34.74
433,2022-04-19,delivered,11-700-3520,64.55
434,2019-07-20,delivered,85-580-7392,63.79
435,2021-02-07,ordered,93-409-8648,4.19
436,2021-09-17,ordered,53-504-3875,11.54
437,2020-12-31,ordered,11-648-9765,35.27
438,2020-06-05,in_van,02-569-3156,41.55
439,2020-03-01,in_van,13-189-4080,11.60
440,2020-10-27,in_van,59-023-1187,97.43
441,2022-02-16,ordered,18-944-2420,88.20
442,2020-06-29,ordered,07-275-2696,49.51
443,2022-02-25,delivered,69-562-1762,63.21
444,2020-04-05,in_van,68-365-1512,70.29
445,2020-03-11,ready,92-809-9028,59.41
446,2022-03-23,in_van,77-206-4888,32.19
447,2020-11-24,ready,25-771-0744,19.61
448,2019-10-11,delivered,67-382-6166,22.97
449,2020-01-14,ready,10-814-8054,21.93
450,2021-04-16,delivered,97-710-0241,95.44
451,2019-08-09,delivered,89-306-1133,46.51
452,2021-04-18,delivered,78-692-7008,75.37
453,2020-08-03,delivered,25-433-9492,28.81
454,2020-04-23,ready,61-753-0334,83.15
455,2021-10-12,delivered,44-087-0146,23.66
456,2019-08-17,ordered,40-429-8594,34.81
457,2020-05-03,ready,18-237-6374,17.97
458,2020-10-28,ordered,15-307-8168,15.02
459,2019-08-09,delivered,37-103-3005,36.90
460,2022-05-09,ready,76-763-0657,10.31
461,2020-04-21,in_van,66-392-1377,45.20
462,2020-08-07,delivered,94-670-7121,28.47
463,2020-12-01,delivered,91-242-5776,96.60
464,2022-01-21,delivered,23-082-1065,42.07
465,2019-11-26,in_van,71-440-8512,54.58
466,2022-11-30,in_van,00-451-8857,48.81
467,2021-06-21,in_van,98-115-7191,38.87
468,2019-10-04,ready,43-566-9850,8.74
469,2021-11-29,ready,06-416-0671,56.17
470,2020-06-10,delivered,10-621-7662,11.13
471,2022-06-06,ordered,51-062-8739,57.97
472,2022-08-09,ordered,91-006-3876,73.07
473,2020-08-26,ordered,81-653-6035,87.28
474,2022-03-28,ordered,22-572-6325,43.16
475,2020-10-23,delivered,84-707-3314,16.13
476,2021-01-05,ordered,63-500-9286,81.93
477,2019-07-12,in_van,96-491-1316,72.37
478,2021-09-12,in_van,77-527-7922,2.37
479,2021-10-09,delivered,53-494-9541,71.60
480,2022-05-14,delivered,26-231-8897,90.55
481,2019-09-07,in_van,60-725-6733,23.37
482,2020-03-10,in_van,97-995-3154,76.50
483,2020-09-13,ready,25-339-5566,95.49
484,2019-08-29,in_van,35-587-5940,24.52
485,2021-02-16,ordered,53-433-8071,33.54
486,2019-09-20,delivered,59-613-6838,76.45
487,2022-08-28,ordered,02-699-8406,93.24
488,2020-05-30,delivered,80-258-5757,67.43
489,2021-08-23,delivered,15-297-7741,48.82
490,2022-11-28,ordered,81-109-8738,8.36
491,2021-03-05,delivered,80-784-2924,93.91
492,2020-10-03,delivered,12-371-9369,23.66
493,2020-04-24,ready,87-976-0252,38.14
494,2021-01-17,delivered,86-725-2449,19.04
495,2021-08-18,ordered,65-451-1818,52.84
496,2022-09-12,delivered,24-339-0545,78.22
497,2021-12-04,ordered,62-591-7981,95.46
498,2022-04-14,ready,15-197-3569,97.48
499,2022-04-27,ready,55-619-8849,54.48
500,2021-10-13,delivered,06-705-6026,60.42
501,2019-08-27,ready,08-316-6754,89.79
502,2021-04-12,ordered,55-932-3347,18.23
503,2021-04-01,ordered,32-049-4417,28.07
504,2019-12-08,in_van,80-890-3871,96.40
505,2020-06-27,ordered,44-701-3012,88.23
506,2020-10-08,delivered,78-803-3890,79.57
507,2022-09-22,ready,08-940-9111,72.74
508,2022-05-29,ready,41-597-5931,32.25
509,2021-05-07,ordered,85-961-5775,23.13
510,2022-11-30,delivered,81-898-7131,68.47
511,2019-12-19,ready,93-083-3241,40.45
512,2019-07-05,in_van,90-478-9446,22.47
513,2020-01-05,delivered,34-631-7695,47.57
514,2021-05-06,ready,68-844-1159,1.30
515,2021-01-07,delivered,27-774-9457,20.84
516,2022-04-09,ready,87-292-9640,48.29
517,2020-10-18,ordered,20-140-3398,22.16
518,2020-09-05,in_van,31-762-1168,98.88
519,2022-01-28,ordered,65-386-4145,73.62
520,2021-08-28,ordered,09-923-6077,15.75
521,2021-04-26,delivered,87-435-5817,38.29
522,2021-12-02,ordered,95-524-7993,46.97
523,2022-06-05,in_van,88-109-5070,82.01
524,2020-10-29,delivered,46-796-5628,38.39
525,2022-09-27,ordered,92-555-9940,79.15
526,2019-07-29,ordered,43-718-3224,53.86
527,2022-06-15,ready,95-587-8796,6.12
528,2019-10-31,delivered,84-976-0893,65.84
529,2019-07-17,ready,85-313-3288,32.08
530,2022-05-14,ordered,82-287-7415,65.68
531,2020-03-05,ordered,72-823-6963,8.48
532,2019-06-30,delivered,82-090-4450,47.03
533,2021-01-03,in_van,79-555-6824,62.50
534,2019-08-11,delivered,33-177-2796,67.22
535,2021-01-06,ready,13-435-8115,9.08
536,2019-12-14,in_van,92-833-3271,30.49
537,2022-09-28,ready,37-474-6061,89.27
538,2021-01-23,ready,96-257-8035,26.15
539,2020-10-27,delivered,61-097-0206,57.91
540,2020-05-06,delivered,58-326-4792,31.19
541,2020-09-07,ordered,93-396-2857,82.75
542,2022-02-17,delivered,48-335-5237,89.17
543,2020-09-30,ordered,74-034-2507,28.45
544,2021-05-16,ordered,80-768-1365,70.86
545,2022-07-05,in_van,00-283-3544,45.51
546,2021-02-27,delivered,68-323-6449,50.21
547,2020-02-07,ordered,30-124-4774,31.46
548,2021-02-15,delivered,61-509-9344,97.38
549,2021-02-12,delivered,66-276-1471,78.48
550,2021-12-20,in_van,29-595-2468,56.68
551,2020-03-08,ready,35-174-3155,25.46
552,2020-05-22,delivered,25-621-0618,84.22
553,2022-08-06,ordered,82-799-6775,7.13
554,2019-09-25,ordered,83-584-6805,17.95
555,2021-12-27,delivered,31-405-1090,22.20
556,2019-09-17,ready,47-102-5062,95.26
557,2022-07-14,ordered,53-541-9522,42.52
558,2021-08-25,ready,77-180-0305,74.55
559,2020-07-25,ordered,43-109-7017,84.75
560,2019-12-24,in_van,21-743-3530,56.75
561,2021-09-05,in_van,28-279-3419,31.20
562,2020-03-01,in_van,35-460-4013,56.95
563,2021-10-11,delivered,47-084-5361,54.82
564,2022-02-08,ordered,30-601-0133,85.69
565,2022-02-04,ready,70-350-8506,62.33
566,2020-01-29,ready,77-325-6969,12.55
567,2022-07-09,in_van,35-067-3364,70.38
568,2022-07-01,delivered,98-646-1456,38.75
569,2022-03-26,ready,70-821-6798,39.92
570,2022-06-07,in_van,51-960-7680,50.27
571,2020-08-03,ordered,45-436-6764,69.04
572,2020-03-04,ready,69-254-6693,34.06
573,2019-10-23,in_van,49-795-0099,71.84
574,2023-01-08,delivered,52-708-9153,1.54
575,2022-03-04,ready,05-378-2914,11.31
576,2019-10-19,ordered,09-522-5385,43.93
577,2020-07-06,delivered,01-754-7255,76.09
578,2021-04-09,delivered,53-851-0542,65.98
579,2022-11-15,ready,46-773-9492,90.81
580,2020-08-01,ordered,85-559-9663,98.91
581,2019-09-19,delivered,66-576-7484,67.12
582,2022-12-19,delivered,88-729-8334,55.99
583,2022-08-28,ready,44-877-6595,49.56
584,2021-12-07,delivered,32-596-3017,46.17
585,2021-03-21,ready,90-716-3855,46.14
586,2021-11-05,ordered,84-632-0013,53.31
